GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
leetcode,original,Solution0600,0,101,0,20,0,18,0,13,0,3
leetcode,original,Solution1899,2,81,5,9,0,10,5,4,0,2
leetcode,original,Solution3317,0,104,0,6,0,12,0,5,0,2
leetcode,original,Solution2503,8,229,1,19,0,28,2,12,1,3
leetcode,original,Solution0684,0,79,0,6,0,14,0,6,0,3
leetcode,original,Solution1895,56,224,11,17,12,21,7,10,0,3
leetcode,original,Solution0321,0,200,0,26,0,40,0,18,0,5
leetcode,original,Solution2862,0,86,0,6,0,17,0,5,0,2
leetcode,original,Solution3398,5,126,4,14,1,25,4,8,0,3
leetcode,original,Solution3154,0,98,0,10,0,15,0,8,0,3
leetcode,original,Bitset,57,51,6,2,13,12,9,3,5,3
leetcode,original,Solution2617,43,278,9,25,2,23,8,13,0,4
leetcode,original,Solution3209,0,85,0,4,0,13,0,4,0,2
leetcode,original,Solution2912,21,145,4,4,1,14,3,3,0,2
leetcode,original,Solution2513,0,115,2,8,0,15,2,7,0,4
leetcode,original,Solution2115,0,145,0,14,0,22,0,10,0,3
leetcode,original,Solution3287,0,202,0,26,0,27,0,15,0,2
leetcode,original,Solution2470,0,63,0,8,0,14,0,8,0,4
leetcode,original,NeighborSum,5,179,3,11,1,17,4,7,1,3
leetcode,original,Solution2907,0,77,2,12,0,14,2,7,0,2
leetcode,original,MyCircularDeque,111,43,14,4,24,11,14,4,5,4
leetcode,original,Solution1316,0,148,0,8,0,20,0,7,0,3
leetcode,original,Solution1954,0,30,0,2,0,5,0,3,0,2
leetcode,original,Solution1955,46,148,2,6,3,15,2,4,0,2
leetcode,original,Solution3219,68,0,10,0,13,0,7,0,2,0
leetcode,original,Solution2402,52,131,5,11,5,20,5,7,1,3
leetcode,original,Solution1035,0,85,0,6,0,9,0,5,0,2
leetcode,original,Solution0582,0,76,0,4,0,13,0,6,0,4
leetcode,original,Solution1392,2,111,1,5,1,13,1,5,0,3
leetcode,original,Solution1272,17,85,2,8,1,11,2,5,0,2
leetcode,original,Solution3171,40,93,7,11,5,16,4,7,0,2
leetcode,original,Solution0739,0,56,0,8,0,11,0,6,0,2
leetcode,original,Solution1307,281,0,46,0,40,0,26,0,3,0
leetcode,original,Solution0479,5,63,1,7,1,11,1,5,0,2
leetcode,original,ATM,41,85,5,3,6,11,4,3,1,2
leetcode,original,Solution1449,2,162,1,15,1,23,1,9,0,2
leetcode,original,Solution2538,0,148,0,6,0,20,0,7,0,4
leetcode,original,Solution0475,9,56,3,5,0,11,3,3,0,2
leetcode,original,Solution1962,0,68,0,6,0,12,0,6,0,3
leetcode,original,Solution0593,3,138,11,15,1,14,11,5,0,3
leetcode,original,Solution3341,1,204,1,19,1,24,1,12,0,3
leetcode,original,Solution1040,2,104,2,6,1,11,2,4,0,2
leetcode,original,Solution1283,0,57,0,6,0,12,0,5,0,2
leetcode,original,Solution2093,2,239,1,15,1,27,1,10,0,3
leetcode,original,Solution1958,2,84,3,21,1,14,3,11,0,2
leetcode,original,Solution0005,0,105,1,11,0,15,1,7,0,2
leetcode,original,Solution1851,168,0,14,0,22,0,12,0,5,0
leetcode,original,Solution2268,0,55,0,6,0,11,0,5,0,2
leetcode,original,Solution3235,271,76,57,3,25,12,33,3,3,3
leetcode,original,Solution2024,71,0,8,0,10,0,7,0,3,0
leetcode,original,Solution2387,0,102,0,10,0,23,0,8,0,3
leetcode,original,Solution2141,0,82,0,8,0,14,0,6,0,2
leetcode,original,Solution3070,0,85,0,6,0,10,0,5,0,2
leetcode,original,Solution1728,3,618,2,62,1,80,2,36,0,6
leetcode,original,Solution1846,0,48,0,2,0,9,0,3,0,2
leetcode,original,Solution0517,2,73,1,5,1,14,1,4,0,2
leetcode,original,Solution0017,105,12,7,1,11,4,4,2,0,2
leetcode,original,Solution2557,5,140,2,8,2,21,2,5,0,2
leetcode,original,Solution2954,0,205,2,16,0,29,2,11,0,4
leetcode,original,Solution1345,9,150,2,16,2,22,2,10,0,3
leetcode,original,Solution1466,0,114,0,6,0,15,0,7,0,4
leetcode,original,Solution1102,0,228,0,20,0,24,0,14,0,4
leetcode,original,Solution2397,0,90,0,14,0,17,0,9,0,2
leetcode,original,Solution1067,2,170,1,33,0,25,1,20,0,4
leetcode,original,Solution2156,2,125,1,7,1,15,1,5,0,2
leetcode,original,Solution0891,0,49,0,2,0,8,0,3,0,2
leetcode,original,Solution2272,0,104,0,12,0,17,0,8,0,2
leetcode,original,Solution2152,86,113,8,12,7,18,6,8,1,3
leetcode,original,Solution2392,211,0,24,0,34,0,16,0,4,0
leetcode,original,Solution3082,0,91,0,6,0,11,0,5,0,2
leetcode,original,Solution0526,1,120,1,15,1,22,1,11,0,4
leetcode,original,Solution2328,0,158,0,18,0,20,0,12,0,3
leetcode,original,Solution1998,13,176,3,19,1,27,2,13,0,4
leetcode,original,Solution0943,300,0,34,0,47,0,19,0,2,0
leetcode,original,Solution1755,0,146,2,10,0,29,2,7,0,3
leetcode,original,Solution1359,16,15,1,1,1,5,1,2,0,2
leetcode,original,Solution1478,0,148,0,14,0,17,0,9,0,2
leetcode,original,Solution0265,0,69,0,8,0,13,0,6,0,2
leetcode,original,Solution0267,45,87,6,8,8,16,4,6,0,3
leetcode,original,Solution2202,47,9,9,1,11,3,5,2,0,2
leetcode,original,Solution1595,0,164,0,10,0,16,0,7,0,2
leetcode,original,Solution0780,31,36,15,9,3,9,10,4,0,2
leetcode,original,Solution3250,0,141,0,12,0,20,0,8,0,2
leetcode,original,Solution3091,0,34,0,2,0,7,0,3,0,2
leetcode,original,Solution1901,3,84,2,6,1,15,2,5,0,3
leetcode,original,Solution0418,2,44,2,6,1,10,2,4,0,2
leetcode,original,Solution1404,10,34,4,6,4,13,3,4,0,2
leetcode,original,Solution1129,0,210,1,15,0,29,1,10,0,3
leetcode,original,Solution0555,0,132,1,15,0,30,1,9,0,2
leetcode,original,Solution2613,22,400,9,29,3,37,9,18,0,8
leetcode,original,Solution2734,27,29,6,4,6,7,4,3,0,2
leetcode,original,Solution2459,0,95,0,12,0,22,0,9,0,3
leetcode,original,Solution1521,0,88,0,6,0,15,0,5,0,2
leetcode,original,Solution1400,52,11,7,1,7,4,4,2,0,2
leetcode,original,Solution1642,11,48,3,5,3,10,2,4,0,2
leetcode,original,Solution2577,9,217,3,21,1,24,2,13,0,3
leetcode,original,Solution2457,9,58,1,5,2,14,1,5,0,3
leetcode,original,Solution1641,8,58,1,5,1,11,1,5,0,3
leetcode,original,Solution1001,7,246,6,26,0,35,5,16,0,5
leetcode,original,Solution0670,2,86,2,8,0,17,2,5,0,2
leetcode,original,Solution0548,80,39,11,3,7,7,6,3,0,2
